country_name,wins
Mexico,197
Brazil,190
Spain,185
United States,176
Japan,173
Germany,168
France,167
Iran,167
Saudi Arabia,160
South Korea,157
Egypt,157
Argentina,153
Netherlands,148
Portugal,148
Qatar,142
England,138
Oman,137
Nigeria,134
Italy,132
Ivory Coast,129
Sweden,126
South Africa,125
Costa Rica,124
Uganda,123
Australia,123
Croatia,123
China PR,122
Poland,121
Bahrain,120
Honduras,119
Zambia,119
Colombia,118
Morocco,117
Iraq,116
Belgium,115
Thailand,115
Czech Republic,114
Trinidad and Tobago,113
Chile,112
Turkey,112
United Arab Emirates,112
Tunisia,111
Senegal,111
Ghana,109
Cameroon,109
Uruguay,108
Jordan,108
Jamaica,104
Kuwait,102
Romania,102
Russia,101
Zimbabwe,100
Denmark,100
Switzerland,100
Ukraine,99
Greece,98
Uzbekistan,98
Syria,97
Algeria,95
Serbia,95
Norway,91
Republic of Ireland,91
Mali,90
Panama,89
Ecuador,88
Finland,87
Slovakia,86
Singapore,85
Kenya,81
Hungary,80
Malaysia,79
Angola,78
Bosnia and Herzegovina,78
DR Congo,78
Paraguay,78
North Korea,77
Haiti,76
Sudan,76
Rwanda,75
Bulgaria,75
Venezuela,74
Estonia,74
Guatemala,73
El Salvador,72
Peru,72
Guinea,72
India,72
Vietnam,71
Iceland,71
Burkina Faso,71
Tanzania,70
Indonesia,70
Austria,69
Scotland,69
Botswana,69
Libya,67
Slovenia,66
Malawi,66
Belarus,65
Wales,65
Ethiopia,64
Canada,64
Cuba,63
Israel,62
Gabon,60
Albania,60
Mozambique,59
Togo,58
Philippines,57
Martinique,56
North Macedonia,54
Guadeloupe,53
Burma,52
Georgia,52
Latvia,51
Northern Ireland,50
Hong Kong,50
New Zealand,50
Lebanon,50
Namibia,49
Congo,49
Tajikistan,49
New Caledonia,48
Barbados,47
Saint Kitts and Nevis,46
Palestine,46
Lithuania,46
Burundi,45
Cape Verde,45
Suriname,45
Fiji,44
Maldives,44
Madagascar,43
Guyana,43
Armenia,43
Solomon Islands,42
Turkmenistan,42
Cyprus,42
Benin,41
Antigua and Barbuda,41
Kyrgyzstan,40
Kazakhstan,36
Grenada,35
Bermuda,35
Dominican Republic,35
Vanuatu,35
Moldova,35
Lesotho,35
Yemen,35
Azerbaijan,35
Eswatini,34
Montenegro,34
French Guiana,34
Jersey,34
Curaçao,33
Bangladesh,33
Bolivia,33
Liberia,32
Tahiti,31
Nepal,31
Guernsey,30
Saint Lucia,30
Sri Lanka,30
Cambodia,29
Afghanistan,29
Padania,29
Equatorial Guinea,28
Laos,26
Mauritania,26
Saint Vincent and the Grenadines,26
Sierra Leone,25
Zanzibar,24
Isle of Man,24
Gibraltar,23
Nicaragua,23
Chinese Taipei,22
Niger,22
Mauritius,21
Malta,21
Faroe Islands,21
Gambia,20
Northern Cyprus,20
Mongolia,19
Pakistan,19
Ynys Môn,19
Luxembourg,19
Belize,18
Dominica,18
Greenland,17
Guam,17
Kosovo,16
Chad,15
Guinea-Bissau,15
Papua New Guinea,14
Central African Republic,14
Macau,14
Puerto Rico,14
Iraqi Kurdistan,13
Basque Country,13
Réunion,12
Saint Martin,12
Liechtenstein,12
Abkhazia,12
Åland Islands,11
Shetland,11
Isle of Wight,11
Sápmi,11
Western Isles,11
Seychelles,11
Samoa,11
British Virgin Islands,10
Menorca,10
Bahamas,10
Eritrea,9
Cayman Islands,9
Aruba,9
Rhodes,9
Catalonia,9
Comoros,9
Occitania,8
Bhutan,8
Gotland,8
Tonga,8
Brunei,8
South Sudan,8
Montserrat,7
São Tomé and Príncipe,7
Ellan Vannin,7
Andalusia,7
Bonaire,7
County of Nice,6
U.S. Virgin Islands,6
Andorra,6
Cook Islands,6
Székely Land,6
Artsakh,6
Falkland Islands,6
Turks and Caicos Islands,6
Tamil Eelam,6
Kernow,5
Arameans Suryoye,5
Myanmar,5
Orkney,5
Yorkshire,5
Western Armenia,5
Saare County,5
Somalia,5
Monaco,5
Kárpátalja,5
Panjab,5
American Samoa,4
South Ossetia,4
Provence,4
Tuvalu,4
East Timor,4
Cascadia,4
Corsica,3
Hitra,3
Frøya,3
Alderney,3
Djibouti,3
Anguilla,3
Brittany,3
Crimea,3
Mayotte,3
Felvidék,3
Barawa,3
United Koreans in Japan,2
Somaliland,2
Galicia,2
Parishes of Jersey,2
Western Sahara,2
Matabeleland,2
Chameria,2
Sint Maarten,2
Surrey,1
San Marino,1
Northern Mariana Islands,1
Two Sicilies,1
Raetia,1
Canary Islands,1
Romani people,1
Timor-Leste,1
Gozo,1
Republic of St. Pauli,1
Chagos Islands,1
Kabylia,1
